Position,english_level,years_experience,cv_text,highlights,looking_for,additional_info
2D Animator,Intermediate,1.5,"Spine PRO: A Complete 2D Character Animation Guide (2022) GREEN FOREST, English courses, B1 2d animation is a fork part of my life, I have been working professionally as an animator for 1 year and I was happy to be part of the team and contribute to the production of the cartoon series, but unfortunately the project is closed and we need to look for a new team. I will be happy to be a part of the team, which, like me, loves animation.","Spine PRO: A Complete 2D Character Animation Guide (2022) GREEN FOREST, English courses, B1",Not stated,"2d animation is a fork part of my life, I have been working professionally as an animator for 1 year and I was happy to be part of the team and contribute to the production of the cartoon series, but unfortunately the project is closed and we need to look for a new team. I will be happy to be a part of the team, which, like me, loves animation."
2D Animator,Not stated,3.0,"character animation environment UI/UX ,creation and animation of effects,invention of animations, project structuring and integration for Frontend, preparing characters and environments in Photoshop for animation",Not stated,Not stated,"character animation environment UI/UX ,creation and animation of effects,invention of animations, project structuring and integration for Frontend, preparing characters and environments in Photoshop for animation"
2D Animator,Not stated,3.0,"Imagination and fantasy are my strong points. professional qualities - I can follow a clear technical assignment, as well as implement my ideas. I do not stop at what I have achieved and continue to learn new things in my field and beyond.",Not stated,Not stated,"Imagination and fantasy are my strong points. professional qualities - I can follow a clear technical assignment, as well as implement my ideas. I do not stop at what I have achieved and continue to learn new things in my field and beyond."
2D Animator,Advanced,6.0,"I learned how to use Spine 2D and animation tools in Unity in few days while doing the test task for N-iX. And landed the job. When I say I'm fast learner I meant it:) Hi! My education is monumental arts, but my calling is animation. For the last 6 years I was working as 2D animator in several projects. I have experience with both traditional (Toon Boom, Adobe Animate, Cacani 2D) and bone (Spine 2D, Moho) animation. Also I have one year of experience in 2.5D animation and Unity. In Meet Arnold youtube project I worked for 4 years, starting as a junior, then middle, then senior animator. We were working in small teams (director, background artist and two animators). In Bazaar game project (as part of N-iX), I was creating 2.5D animations in both Spine and Unity. For Speed Crew game I animated characters in Spine 2D for cinematics. I'm not interested in companies that continue to work with russia, communicate with employees in russian or employ russians.",I learned how to use Spine 2D and animation tools in Unity in few days while doing the test task for N-iX. And landed the job. When I say I'm fast learner I meant it:),"I'm not interested in companies that continue to work with russia, communicate with employees in russian or employ russians.","Hi! My education is monumental arts, but my calling is animation. For the last 6 years I was working as 2D animator in several projects. I have experience with both traditional (Toon Boom, Adobe Animate, Cacani 2D) and bone (Spine 2D, Moho) animation. Also I have one year of experience in 2.5D animation and Unity. In Meet Arnold youtube project I worked for 4 years, starting as a junior, then middle, then senior animator. We were working in small teams (director, background artist and two animators). In Bazaar game project (as part of N-iX), I was creating 2.5D animations in both Spine and Unity. For Speed Crew game I animated characters in Spine 2D for cinematics."
2D Animator,Basic,1.5,"I have been working on real projects for more than 1 year, I always learn something new, I am looking for more projects to work on Able to work independently and in a team. My main tasks are the preparation of PSD, an animation of characters, an objects and elements of environment. 3D UI UX VFX Match3",Not stated,Not stated,"I have been working on real projects for more than 1 year, I always learn something new, I am looking for more projects to work on Able to work independently and in a team. My main tasks are the preparation of PSD, an animation of characters, an objects and elements of environment. 3D UI UX VFX Match3"
2D Animator,Intermediate,4.0,"2018-2020 - freelancer 2020 - Playrix - marketing creatives video designer.Prepared marketing creatives, including character animation, work with effects, various plugins 2020- until now - outsourcing company - gamedev project. Preparing animation of characters, backgrounds, interface, particles, preparing scene previews, assembling assets with the frontend team, searching for and refining optimization solutions",Not stated,Not stated,"2018-2020 - freelancer 2020 - Playrix - marketing creatives video designer.Prepared marketing creatives, including character animation, work with effects, various plugins 2020- until now - outsourcing company - gamedev project. Preparing animation of characters, backgrounds, interface, particles, preparing scene previews, assembling assets with the frontend team, searching for and refining optimization solutions"
2D Animator,Intermediate,1.5,"2D animator experienced in: -developing, maintaining, and creating animations for characters, props, backgrounds, and UI elements using Esoteric Spine 2D -developing, maintaining, and creating VFX using Adobe After Effects -communication and working closely with game designers, artists, and programmers to find effective solutions or fix issues, and achieve goals in time -working well under pressure and sticking to strict deadlines without compromising on the production quality For me the following issues are important: -teamwork and cooperation within the team, since the interaction of employees, is an important component of the work process; -timely and competent feedback; -work-life balance; -remote work",Not stated,"For me the following issues are important: -teamwork and cooperation within the team, since the interaction of employees, is an important component of the work process; -timely and competent feedback; -work-life balance; -remote work","2D animator experienced in: -developing, maintaining, and creating animations for characters, props, backgrounds, and UI elements using Esoteric Spine 2D -developing, maintaining, and creating VFX using Adobe After Effects -communication and working closely with game designers, artists, and programmers to find effective solutions or fix issues, and achieve goals in time -working well under pressure and sticking to strict deadlines without compromising on the production quality"
2D Animator,Not stated,7.0,"2D ANIMATOR, TECHNICAL ANIMATOR. Worked with all type game animations for slot-games in Playtika from february 2018 till december 2022, made reskins and feature elements, created tutorials and written wiki articles. 2D ANIMATOR, TECHNICAL ANIMATOR, ERS GAME STUDIO (VOKI GAMES) — FEBRUARY 2016 - FEBRUARY 2018 Animating games in the genre HOPA and mach3.",Not stated,Not stated,"2D ANIMATOR, TECHNICAL ANIMATOR. Worked with all type game animations for slot-games in Playtika from february 2018 till december 2022, made reskins and feature elements, created tutorials and written wiki articles. 2D ANIMATOR, TECHNICAL ANIMATOR, ERS GAME STUDIO (VOKI GAMES) — FEBRUARY 2016 - FEBRUARY 2018 Animating games in the genre HOPA and mach3."
2D Animator,Intermediate,1.0,"Created 2D animation using Spine Prepared special effects in Adobe Photoshop and After Effects Created storyboards for animations Good knowledge of the technical aspects of skinning symbols for animation Worked with clients to understand their needs Worked closely with developers 2D animator with 1 year of experience in the animation in game industry. Experienced in creating 2D animation in Spine of characters, objects and environments. Prepared special effects in Adobe Photoshop and After Effects. I would like to be useful for projects or company with my knowledge and skills in game dеsign.",Created 2D animation using Spine Prepared special effects in Adobe Photoshop and After Effects Created storyboards for animations Good knowledge of the technical aspects of skinning symbols for animation Worked with clients to understand their needs Worked closely with developers,Not stated,"2D animator with 1 year of experience in the animation in game industry. Experienced in creating 2D animation in Spine of characters, objects and environments. Prepared special effects in Adobe Photoshop and After Effects. I would like to be useful for projects or company with my knowledge and skills in game dеsign."
2D Animator,Not stated,4.0,"- 4 years in gamedev - ability to work in Adobe Photoshop, Illustrator, Animate, Spine - ability to work in various graphic styles - creativity and the ability to use references wisely - teamwork and excellent communication skills - developing storyboards for animation projects",Not stated,Not stated,"- 4 years in gamedev - ability to work in Adobe Photoshop, Illustrator, Animate, Spine - ability to work in various graphic styles - creativity and the ability to use references wisely - teamwork and excellent communication skills - developing storyboards for animation projects"
